sampleName,fileName,time,species,condition
BR0min1,BR0min1.count,zero,BR,BR_zero
BR0min2,BR0min2.count,zero,BR,BR_zero
BR0min3,BR0min3.count,zero,BR,BR_zero
BR10min1,BR10min1.count,ten,BR,BR_ten
BR10min2,BR10min2.count,ten,BR,BR_ten
BR10min3,BR10min3.count,ten,BR,BR_ten
BR30min1,BR30min1.count,thirty,BR,BR_thirty
BR30min2,BR30min2.count,thirty,BR,BR_thirty
BR30min3,BR30min3.count,thirty,BR,BR_thirty
SC0min1,SC0min1.count,zero,SC,SC_zero
SC0min2,SC0min2.count,zero,SC,SC_zero
SC0min3,SC0min3.count,zero,SC,SC_zero
SC10min1,SC10min1.count,ten,SC,SC_ten
SC10min2,SC10min2.count,ten,SC,SC_ten
SC10min3,SC10min3.count,ten,SC,SC_ten
SC30min1,SC30min1.count,thirty,SC,SC_thirty
SC30min2,SC30min2.count,thirty,SC,SC_thirty
SC30min3,SC30min3.count,thirty,SC,SC_thirty
