"","X","names","transcript_id","cell_components_terms","mol_functions_terms","bio_process_terms","length","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1",974,"Sc_g00923: protein BIC1","Sc_g00923","","","blue light signaling pathway",1297,371.328927316471,1.23873803486054,0.237527013878083,5.21514590966211,1.83672600087721e-07,3.6144541362717e-05
"2",1433,"Sc_g01366: uncharacterized protein LOC112287812","Sc_g01366","","","",1669,457.02711952102,1.81669351903022,0.289435446975715,6.2766794392763,3.45880162163877e-10,2.49571752565802e-07
"3",3928,"Sc_g03749: respiratory burst oxidase homolog protein B-like","Sc_g03749"," membrane","peroxidase activity, calcium ion binding, oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor"," oxidation-reduction process",3298,443.947023077762,1.18921234513164,0.242262766193476,4.90877060398918,9.16491043109944e-07,0.000145163239852585
"4",5134,"Sc_g04919: zinc finger with UFM1-specific peptidase domain protein","Sc_g04919","","zinc ion binding","",2648,272.293317382531,1.33122618194292,0.316781054966765,4.20235415303665,2.64153437631515e-05,0.00209196637070617
"5",5541,"Sc_g05313: uncharacterized protein LOC112277919","Sc_g05313","integral component of membrane","","",2219,637.842617865594,1.42336251627257,0.283569831960255,5.01944267637068,5.18216061916737e-07,8.68982565771656e-05
"6",5793,"Sc_g05556: protein ROOT HAIR DEFECTIVE 3-like","Sc_g05556"," endoplasmic reticulum membrane, integral component of membrane","GTPase activity, GTP binding"," endoplasmic reticulum membrane fusion, endoplasmic reticulum inheritance",2801,1808.99274528192,1.70527843919655,0.232001426827959,7.35029289479805,1.97772997096988e-13,6.42168921573919e-10
"7",5876,"Sc_g05631: late embryogenesis abundant protein, group 3-like","Sc_g05631","","","",2013,691.82367504836,1.30988923241929,0.206889217641214,6.33135572435143,2.43016343377751e-10,1.97268516736889e-07
"8",5964,"Sc_g05714: Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein","Sc_g05714","cytoplasm, integral component of membrane","","",1639,4483.1925485555,1.04518731333548,0.171251305652928,6.10323704891185,1.03941506843231e-09,6.74996145439945e-07
"9",5965,"Sc_g05715: anion exchanger family","Sc_g05715"," integral component of membrane","inorganic anion exchanger activity"," anion transport",2277,294.674101076797,1.29913838666386,0.285318045884211,4.55329904786705,5.28111170352325e-06,0.000612952224420381
"10",7085,"Sc_g06791: protein MOTHER of FT and TFL1-like isoform X1","Sc_g06791","","","",1205,449.375769873781,1.24034633180814,0.295985798575087,4.19056028288968,2.78266469410373e-05,0.00217718367753128
"11",9283,"Sc_g08899: protein EARLY-RESPONSIVE TO DEHYDRATION 7, chloroplastic-like isoform X2","Sc_g08899","","","",1880,1009.65569106477,1.01595666131953,0.238999035055304,4.25088185433235,2.12930473053148e-05,0.00180785861456145
"12",9343,"Sc_g08955: elongation factor Tu, chloroplastic","Sc_g08955"," mitochondrion","translation elongation factor activity, GTPase activity, GTP binding"," mitochondrial translational elongation",1530,1864.79804779848,1.43306358593917,0.273584481309677,5.23810261122614,1.62235858511958e-07,3.54850771955848e-05
"13",9569,"Sc_g09163: two-component response regulator ORR41-like","Sc_g09163"," intracellular, integral component of membrane","phosphorelay sensor kinase activity"," phosphorelay signal transduction system, signal transduction by protein phosphorylation",3019,1895.89503334187,1.19183778114403,0.142839077361131,8.34391962733551,7.18678438781841e-17,4.66709778144927e-13
"14",10389,"Sc_g09951: BAG family molecular chaperone regulator 6","Sc_g09951","","chaperone binding","",3845,440.028519084256,1.12927400420768,0.190027536176072,5.94268613345246,2.80388987951761e-09,1.21389739183916e-06
"15",10454,"Sc_g10016: beta-carotene hydroxylase","Sc_g10016"," integral component of membrane","iron ion binding, oxidoreductase activity"," lipid biosynthetic process, oxidation-reduction process",1586,537.176311548934,1.18937713101332,0.199723879150666,5.95510730149642,2.5990125132504e-09,1.21389739183916e-06
"16",10496,"Sc_g10057: protein SRC2-like","Sc_g10057","membrane, integral component of membrane","","",1069,1196.88496503126,1.08764414415132,0.224017904031769,4.85516614777843,1.20285846929801e-06,0.000181659602316773
"17",11097,"Sc_g10629: hypothetical protein PHYPA_004803","Sc_g10629","","","",568,203.29379687122,1.27885013103934,0.294796379262761,4.33807950503849,1.43733163817584e-05,0.00135275821134984
"18",11105,"Sc_g10637: hypothetical protein PHYPA_004803","Sc_g10637","","","",1233,801.270502727846,1.23484902977963,0.284640066275886,4.33828254024772,1.43600473076477e-05,0.00135275821134984
"19",11295,"Sc_g10812: high-affinity nitrate transporter 2.1-like","Sc_g10812","plasma membrane, plant-type vacuole membrane, integral component of membrane"," nitrate transmembrane transporter activity, nitrite transmembrane transporter activity"," nitrate transport, nitrite transport, transmembrane transport, cellular response to nitrate",2196,456.327888201276,1.29724113872545,0.300439320060596,4.31781412121358,1.57582049862505e-05,0.00146191118829586
"20",11358,"Sc_g10872: heavy metal-associated isoprenylated plant protein 28-like","Sc_g10872",""," metal ion binding","metal ion transport",1296,64.8153601294705,1.93391666146328,0.459986648543203,4.20428868443916,2.61904492509271e-05,0.00209196637070617
"21",11867,"Sc_g11369: transmembrane protein 205-like","Sc_g11369","endoplasmic reticulum, membrane, integral component of membrane","","",2825,3500.8928032935,1.09786898601653,0.188130751605868,5.83567001484453,5.35748349820064e-09,1.93286099096194e-06
"22",11961,"Sc_g11458: protein NRT1/ PTR FAMILY 8.1","Sc_g11458","plasma membrane, plasmodesma, integral component of membrane"," tripeptide transmembrane transporter activity"," nitrogen compound metabolic process, dipeptide transport, tripeptide transport, transmembrane transport",2208,459.06476641497,1.51883787717736,0.354963534839875,4.27885607422325,1.87856280352883e-05,0.00167114888302962
"23",12232,"Sc_g11726: putative quinone-oxidoreductase homolog, chloroplastic","Sc_g11726","","oxidoreductase activity"," oxidation-reduction process",1331,379.064206070868,-1.02816042039453,0.257386653653752,-3.99461435081889,6.47996410757828e-05,0.00457400944724058
"24",12479,"Sc_g11968: stress protein DDR48-like","Sc_g11968","","metal ion binding","",1793,2268.76487333132,1.05071862208361,0.162747347843619,6.45613360835366,1.07411787619521e-10,9.96474498287387e-08
