"names","transcript_id","cell_components_terms","mol_functions_terms","bio_process_terms","length","baseMean","stat","pvalue","padj"
"Sc_g08728: Core-2/I-branching beta-16-N-acetylglucosaminyltransferase family protein","Sc_g08728"," membrane","acetylglucosaminyltransferase activity","",1123,677.621023149131,56.5273300107898,5.31185546963645e-13,3.63384032677829e-09
"Sc_g00568: putative 12-oxophytodienoate reductase 11","Sc_g00568","","FMN binding, oxidoreductase activity"," oxidation-reduction process",1723,326.423243483135,36.3684960763561,1.26672230965489e-08,2.16641183008728e-05
"Sc_g00609: adenine phosphoribosyltransferase","Sc_g00609","","transferase activity, transferase activity, transferring glycosyl groups","",973,396.654236955189,36.5782861428099,1.14058087550011e-08,2.16641183008728e-05
"Sc_g13403: uncharacterized protein LOC112285453 isoform X2","Sc_g13403","","","",761,1114.63903678769,36.4719640508098,1.20285598733124e-08,2.16641183008728e-05
"Sc_g02848: protein PROTON GRADIENT REGULATION 5, chloroplastic","Sc_g02848"," chloroplast","electron transfer activity"," response to high light intensity, photosynthetic electron transport in photosystem I",1021,1254.81780659686,33.2850159228803,5.91903117429288e-08,7.44645943256591e-05
"Sc_g10759: NPC intracellular cholesterol transporter 1-like","Sc_g10759"," integral component of membrane","lipid transporter activity","",4464,1928.75113949344,33.0882330380536,6.53102712986339e-08,7.44645943256591e-05
"Sc_g14586: pectinesterase 2-like","Sc_g14586"," cell wall","enzyme inhibitor activity, pectinesterase activity"," cell wall modification",1989,298.140029185497,32.1846691004301,1.02609578566945e-07,0.000100278875282353
"Sc_g14304: hypothetical protein MARPO_0010s0178","Sc_g14304","","iron ion binding, oxidoreductase activity"," oxidation-reduction process",1595,1735.18617835128,31.8660186565399,1.20332230966123e-07,0.000102899099004906
"Sc_g12657: uncharacterized protein LOC112283607","Sc_g12657","","","",887,383.068213931845,31.3691906703202,1.54264783874298e-07,0.000117258376276008
"Sc_g05211: treponemal membrane protein B-like isoform X1","Sc_g05211","","","",832,1577.57595490194,27.4792916914026,1.07881661362583e-06,0.000670925859437663
