"","X","names","transcript_id","cell_components_terms","mol_functions_terms","bio_process_terms","length","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1",598,"Sc_g00568: putative 12-oxophytodienoate reductase 11","Sc_g00568","","FMN binding, oxidoreductase activity"," oxidation-reduction process",1723,326.423243483135,1.75953071069953,0.316388015089338,36.3684960763561,1.26672230965489e-08,2.16641183008728e-05
"2",640,"Sc_g00609: adenine phosphoribosyltransferase","Sc_g00609","","transferase activity, transferase activity, transferring glycosyl groups","",973,396.654236955189,1.27643159531579,0.30284879920253,36.5782861428099,1.14058087550011e-08,2.16641183008728e-05
"3",856,"Sc_g00809: aquaporin PIP1-2","Sc_g00809"," vacuole, plasma membrane, plasmodesma, integral component of membrane","protein binding, water channel activity"," water transport, response to water deprivation, transmembrane transport",1400,13005.1937669314,0.469032417280378,0.141587272624368,22.711258458096,1.17034225997258e-05,0.00428531584667154
"4",960,"Sc_g00909: protein FORGETTER 1","Sc_g00909",""," metal ion binding","regulation of transcription, DNA-templated",4141,1663.67678970999,-0.812230662393152,0.178834572217931,22.4013000164674,1.36653106137702e-05,0.00443122445999326
"5",2466,"Sc_g02351: BES1/BZR1 homolog protein 4-like isoform X1","Sc_g02351","","DNA-binding transcription factor activity, beta-amylase activity, amylopectin maltohydrolase activity"," regulation of transcription, DNA-templated, brassinosteroid mediated signaling pathway",1896,575.055580214028,-2.33805958526885,0.494970565808138,22.0750328727098,1.60867205583865e-05,0.00473083261368414
"6",2980,"Sc_g02848: protein PROTON GRADIENT REGULATION 5, chloroplastic","Sc_g02848"," chloroplast","electron transfer activity"," response to high light intensity, photosynthetic electron transport in photosystem I",1021,1254.81780659686,1.43464635637387,0.254159884412625,33.2850159228803,5.91903117429288e-08,7.44645943256591e-05
"7",3261,"Sc_g03123: alpha-glucan water dikinase 1, chloroplastic","Sc_g03123","","ATP binding, alpha-glucan, water dikinase activity"," phosphorylation",4712,1072.8537385968,-1.40461414517214,0.310775490512023,23.3074050504092,8.68682954085779e-06,0.00371416255556301
"8",3723,"Sc_g03554: putative CAAX amino terminal protease","Sc_g03554","membrane","","",1016,573.221740476187,0.970845927618752,0.239905903636163,25.3761756271941,3.08768847420289e-06,0.00162483668092477
"9",5437,"Sc_g05211: treponemal membrane protein B-like isoform X1","Sc_g05211","","","",832,1577.57595490194,1.57641611832148,0.372910793179594,27.4792916914026,1.07881661362583e-06,0.000670925859437663
"10",7046,"Sc_g06752: probable esterase KAI2","Sc_g06752",""," hydrolase activity","de-etiolation, response to karrikin",1176,442.959853854941,1.15382205787073,0.305455811102307,23.3197695740838,8.63329095141134e-06,0.00371416255556301
