"names","transcript_id","cell_components_terms","mol_functions_terms","bio_process_terms","length","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sc_g00710: sorbitol dehydrogenase","Sc_g00710"," mitochondrion, cytosol, plasmodesma, integral component of membrane","L-iditol 2-dehydrogenase activity, zinc ion binding"," oxidation-reduction process",1477,3151.43891133901,-1.43428870929856,0.291097830104249,-4.92717073426794,8.34288498330457e-07,0.00094830792643562
"Sc_g04413: ribosomal protein S19 (chloroplast)","Sc_g04413"," ribosome, chloroplast, plastid, small ribosomal subunit","RNA binding, structural constituent of ribosome, rRNA binding"," translation",1928,902.014420750212,-1.01507688375604,0.255459491995924,-3.97353363472685,7.08141529915335e-05,0.0402460436168548
"Sc_g04894: uncharacterized protein LOC112281062","Sc_g04894","","","response to water",1179,192.902238303885,-3.2052848867424,0.522092709123174,-6.13930214065908,8.28847885242382e-10,5.65274257735304e-06
"Sc_g08899: protein EARLY-RESPONSIVE TO DEHYDRATION 7, chloroplastic-like isoform X2","Sc_g08899","","","",1880,919.951169355637,-1.10977026999449,0.217591016737979,-5.10025775251039,3.39191251772903e-07,0.000771094779030399
"Sc_g09325: chloroplastic early light-induced protein","Sc_g09325","integral component of membrane","","",908,244.288374559752,1.39829682106678,0.279842372835753,4.99673014810905,5.83105745887118e-07,0.00079535623739003
"Sc_g10213: ABC1/COQ8 Serine/Threonine kinase","Sc_g10213","","protein kinase activity, ATP binding"," protein phosphorylation",2931,1208.27869636054,1.14120725506964,0.214492259740276,5.3205055345657,1.0347930079763e-07,0.000352864415719918
"Sc_g10496: mitochondrial carnitine/acylcarnitine carrier-like protein","Sc_g10496"," integral component of membrane","L-ornithine transmembrane transporter activity"," mitochondrial L-ornithine transmembrane transport",1336,3668.59607805835,1.16336868338285,0.289362164097268,4.02045888415385,5.80848867010556e-05,0.0360126297546544
"Sc_g14379: poly [ADP-ribose] polymerase 3","Sc_g14379","","NAD+ ADP-ribosyltransferase activity"," protein ADP-ribosylation",2917,3442.83062455192,-1.49022153034951,0.296270786147875,-5.02993072562242,4.90657078575647e-07,0.00079535623739003
"Sc_g15551: succinate dehydrogenase [ubiquinone] iron-sulfur subunit 2, mitochondrial","Sc_g15551","mitochondrial inner membrane"," succinate dehydrogenase (ubiquinone) activity, electron transfer activity, metal ion binding, 2 iron, 2 sulfur cluster binding, 3 iron, 4 sulfur cluster binding, 4 iron, 4 sulfur cluster binding"," tricarboxylic acid cycle, electron transport chain",1158,694.332495227448,-1.46341107937465,0.322636156182178,-4.53579380777253,5.73872260868379e-06,0.00559115545588906
"Sc_g15997: protein DOG1-like 3","Sc_g15997",""," sequence-specific DNA binding","transcription, DNA-templated",1831,250.482003724224,-1.29559644550036,0.303773007717866,-4.26501503617354,1.99888739906932e-05,0.0151471245129475
